path,line,source,field,voltage_v
results\MNISTInputPassThroughTest\run_20260720_162747\pass_through_mzi_plan.csv,16,csv,voltage,4.332
results\MNISTInputPassThroughTest\run_20260720_162747\pass_through_voltage.csv,76,csv,voltage,4.332
results\MNISTInputPassThroughTest\run_20260721_111449\pass_through_mzi_plan.csv,16,csv,voltage,4.332
results\MNISTInputPassThroughTest\run_20260721_111449\pass_through_voltage.csv,76,csv,voltage,4.332
results\MNISTInputPassThroughTest\run_20260721_111702\pass_through_mzi_plan.csv,16,csv,voltage,4.332
results\MNISTInputPassThroughTest\run_20260721_111702\pass_through_voltage.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260702_092754\heater_update_log.csv,188,csv,voltage_after,4.331535970870161
results\LayerwiseLossOptimize\run_20260702_092754\heater_update_log.csv,188,csv,voltage_before,4.33
results\LayerwiseLossOptimize\run_20260702_092754\upload_voltage_failure_log.csv,231,csv,voltage,4.33
results\LayerwiseLossOptimize\run_20260702_092754\voltage_state_layer03_iter013.csv,76,csv,voltage,4.33
results\LayerwiseLossOptimize\run_20260702_092754\heater_update_log.csv,180,csv,voltage_after,4.3296075585369564
results\LayerwiseLossOptimize\run_20260702_092754\heater_update_log.csv,180,csv,voltage_before,4.328
results\LayerwiseLossOptimize\run_20260702_092754\voltage_state_layer03_iter012.csv,76,csv,voltage,4.328
results\LayerwiseLossOptimize\run_20260702_092754\heater_update_log.csv,172,csv,voltage_after,4.327635202002907
results\LayerwiseLossOptimize\run_20260702_092754\heater_update_log.csv,172,csv,voltage_before,4.326
results\LayerwiseLossOptimize\run_20260702_092754\voltage_state_layer03_iter011.csv,76,csv,voltage,4.326
results\LayerwiseLossOptimize\run_20260702_092754\heater_update_log.csv,164,csv,voltage_after,4.3259506240658085
results\LayerwiseLossOptimize\run_20260702_092754\heater_update_log.csv,156,csv,voltage_after,4.3240336369720245
results\LayerwiseLossOptimize\run_20260702_092754\heater_update_log.csv,164,csv,voltage_before,4.324
results\LayerwiseLossOptimize\run_20260702_092754\voltage_state_layer03_iter010.csv,76,csv,voltage,4.324
results\LayerwiseLossOptimize\run_20260702_092754\heater_update_log.csv,148,csv,voltage_after,4.322198218535559
results\LayerwiseLossOptimize\run_20260702_092754\heater_update_log.csv,156,csv,voltage_before,4.322
results\LayerwiseLossOptimize\run_20260702_092754\voltage_state_layer03_iter009.csv,76,csv,voltage,4.322
results\LayerwiseLossOptimize\run_20260702_092754\heater_update_log.csv,148,csv,voltage_before,4.32
results\LayerwiseLossOptimize\run_20260702_092754\voltage_state_layer03_iter008.csv,76,csv,voltage,4.32
results\LayerwiseLossOptimize\run_20260702_092754\heater_update_log.csv,140,csv,voltage_after,4.319584854735145
results\LayerwiseLossOptimize\run_20260615_175207\heater_update_log.csv,28,csv,voltage_after,4.319
results\LayerwiseLossOptimize\run_20260615_175207\heater_update_log.csv,28,csv,voltage_before,4.319
results\LayerwiseLossOptimize\run_20260615_175207\heater_update_log.csv,36,csv,voltage_before,4.319
results\LayerwiseLossOptimize\run_20260615_175207\voltage_state_layer03_iter001.csv,76,csv,voltage,4.319
results\LayerwiseLossOptimize\run_20260615_175207\voltage_state_layer03_iter002.csv,76,csv,voltage,4.319
results\LayerwiseLossOptimize\run_20260702_092754\heater_update_log.csv,140,csv,voltage_before,4.319
results\LayerwiseLossOptimize\run_20260702_092754\voltage_state_layer03_iter007.csv,76,csv,voltage,4.319
results\LayerwiseLossOptimize\run_20260615_175207\heater_update_log.csv,20,csv,voltage_after,4.318734816877368
results\LayerwiseLossOptimize\run_20260702_092754\heater_update_log.csv,135,csv,voltage_after,4.318528745294206
results\LayerwiseLossOptimize\run_20260702_092754\heater_update_log.csv,124,csv,voltage_after,4.316
results\LayerwiseLossOptimize\run_20260702_092754\heater_update_log.csv,124,csv,voltage_before,4.316
results\LayerwiseLossOptimize\run_20260702_092754\heater_update_log.csv,135,csv,voltage_before,4.316
results\LayerwiseLossOptimize\run_20260702_092754\voltage_state_layer03_iter005.csv,76,csv,voltage,4.316
results\LayerwiseLossOptimize\run_20260702_092754\voltage_state_layer03_iter006.csv,76,csv,voltage,4.316
results\LayerwiseLossOptimize\run_20260702_092754\heater_update_log.csv,116,csv,voltage_after,4.315571549192808
results\LayerwiseLossOptimize\run_20260702_092754\heater_update_log.csv,116,csv,voltage_before,4.312
results\LayerwiseLossOptimize\run_20260702_092754\voltage_state_layer03_iter004.csv,76,csv,voltage,4.312
results\LayerwiseLossOptimize\run_20260702_092754\heater_update_log.csv,107,csv,voltage_after,4.3119917901808025
results\LayerwiseLossOptimize\run_20260716_224053\heater_update_log.csv,163,csv,voltage_after,4.311120337533071
results\LayerwiseLossOptimize\run_20260716_224053\final_voltage.csv,76,csv,voltage,4.311
results\LayerwiseLossOptimize\run_20260716_224053\voltage_state_layer04_iter000.csv,76,csv,voltage,4.311
results\LayerwiseLossOptimize\run_20260716_224053\voltage_state_layer04_iter001.csv,76,csv,voltage,4.311
results\LayerwiseLossOptimize\run_20260716_224053\voltage_state_layer04_iter002.csv,76,csv,voltage,4.311
results\LayerwiseLossOptimize\run_20260716_224053\voltage_state_layer04_iter003.csv,76,csv,voltage,4.311
results\LayerwiseLossOptimize\run_20260716_224053\voltage_state_layer04_iter004.csv,76,csv,voltage,4.311
results\LayerwiseLossOptimize\run_20260716_224053\voltage_state_layer04_iter005.csv,76,csv,voltage,4.311
results\LayerwiseLossOptimize\run_20260716_224053\voltage_state_layer05_iter000.csv,76,csv,voltage,4.311
results\LayerwiseLossOptimize\run_20260716_224053\voltage_state_layer05_iter001.csv,76,csv,voltage,4.311
results\LayerwiseLossOptimize\run_20260716_224053\voltage_state_layer05_iter002.csv,76,csv,voltage,4.311
results\LayerwiseLossOptimize\run_20260716_224053\voltage_state_layer05_iter003.csv,76,csv,voltage,4.311
