mzi,port,voltage,expected_mA,actual_mA,lower_mA,upper_mA,local_sample_row,sample_index,iteration
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,344,344,6
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,344,344,6
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,344,344,6
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,344,344,6
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,347,347,2
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,347,347,2
3,41,4.164,8.093643218673503,,7.284278896806152,8.903007540540854,347,347,2
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,347,347,2
5,44,3.584,6.928743296348336,,6.235868966713502,7.62161762598317,347,347,2
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,347,347,2
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,347,347,2
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,347,347,2
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,355,355,4
2,45,4.075,8.000747388345571,,7.200672649511014,8.800822127180128,355,355,4
3,41,4.164,8.093643218673503,,7.284278896806152,8.903007540540854,355,355,4
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,355,355,4
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,355,355,4
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,355,355,4
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,355,355,4
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,355,355,4
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,366,366,2
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,366,366,2
3,41,3.984,7.743773915272631,,6.969396523745368,8.518151306799894,366,366,2
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,366,366,2
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,366,366,2
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,366,366,2
