switch_mzi,port,feature_coefficient,upload_voltage,target_chip_power_uw,target_leak_power,p_on_leak,p_off_leak,chip_power_max_uw,scan_path
7,42,0.63,3.309,151.231319992494,89.85659000750599,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.64,3.301,153.631817135232,87.45609286476798,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.65,3.292,156.03231427797,85.05559572203,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.66,3.282,158.432811420708,82.655098579292,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.67,3.273,160.833308563446,80.254601436554,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.68,3.264,163.233805706184,77.854104293816,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.6900000000000001,3.255,165.634302848922,75.45360715107799,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.7000000000000001,3.246,168.03479999166,73.05311000833998,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.71,3.236,170.43529713439798,70.65261286560201,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.72,3.227,172.835794277136,68.252115722864,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.73,3.218,175.236291419874,65.851618580126,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.74,3.209,177.636788562612,63.451121437388,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.75,3.2,180.03728570535,61.05062429464999,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.76,3.189,182.437782848088,58.65012715191199,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.77,3.178,184.838279990826,56.249630009173984,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.78,3.167,187.238777133564,53.84913286643598,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.79,3.156,189.639274276302,51.448635723698004,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.8,3.145,192.03977141904,49.04813858096,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.81,3.135,194.440268561778,46.647641438221996,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.8200000000000001,3.124,196.840765704516,44.24714429548399,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.8300000000000001,3.113,199.241262847254,41.84664715274599,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.84,3.102,201.64175998999198,39.44615001000801,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.85,3.089,204.04225713273,37.04565286727001,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.86,3.075,206.442754275468,34.645155724532,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.87,3.061,208.843251418206,32.244658581794,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.88,3.047,211.243748560944,29.844161439055995,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.89,3.033,213.644245703682,27.44366429631799,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.9,3.019,216.04474284642,25.043167153579986,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.91,3.005,218.445239989158,22.642670010841982,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.92,2.987,220.84573713189602,20.242172868103978,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.93,2.967,223.246234274634,17.841675725366002,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.9400000000000001,2.947,225.646731417372,15.441178582627998,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.9500000000000001,2.927,228.04722856011,13.040681439889994,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.96,2.908,230.44772570284798,10.640184297152018,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.97,2.879,232.84822284558598,8.239687154414014,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
